case_id,state,category,quality,latency_ms,drift_event,initial_action,action,cost,expected_cost,reason,belief
case-040,DISTRIBUTION_SHIFT,knowledge,0.5762619831352749,661.3528323600478,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-041,DISTRIBUTION_SHIFT,math,0.7947682688479416,491.05231269675596,True,REJECT,ACCEPT,10.0,,static quality threshold,{}
case-042,STABLE,safety,0.8850972147595654,325.9452874449638,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-043,TRANSIENT,code,0.43992032744277737,1193.6373218040594,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-044,TRANSIENT,instruction,0.5045312359070725,967.1869512850798,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-045,STABLE,knowledge,1.0,198.09334763914183,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-046,STABLE,math,0.83336666455659,189.52842008111023,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-047,STABLE,safety,0.9705928522103577,443.2371205261775,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-048,STABLE,code,0.7448846104627842,239.34219908997073,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-049,STABLE,instruction,0.7842070666597215,254.85502667494964,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-050,STABLE,knowledge,0.6911922869907635,658.6344085688108,False,REJECT,REJECT,3.0,,static quality threshold,{}
case-051,STABLE,math,0.893829526194595,460.74339427467675,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-052,STABLE,safety,0.9523986950020665,606.7175729489809,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-053,STABLE,code,0.9060974539519111,376.53826606690603,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-054,STABLE,instruction,0.9831917553529126,485.6399706188259,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-055,STABLE,knowledge,0.8057919407331919,461.14012498090614,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-056,STABLE,math,0.8124560855487067,460.9922411112889,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-057,STABLE,safety,0.8872372706465095,544.8341437365644,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-058,STABLE,code,0.8017577243011732,665.6417087741293,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-059,STABLE,instruction,0.9170463827281246,655.7735738322015,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-060,STABLE,knowledge,0.8746009338238006,639.7696218461539,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-061,STABLE,math,0.8975397285406556,223.66382799437122,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-062,STABLE,safety,0.9133012354525966,716.8654368207152,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-063,STABLE,code,0.7744617123433191,452.17946920390636,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-064,STABLE,instruction,0.9372537739582774,150.0,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-065,STABLE,knowledge,0.8752872814216106,424.89347379315063,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-066,DEGRADED,math,0.8419743767160577,379.92574662068006,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-067,DEGRADED,safety,0.8568541423697938,464.77143482260556,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-068,DEGRADED,code,0.7790246785451173,502.8425897304635,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-069,DEGRADED,instruction,0.8598745695245399,548.709141264505,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-070,DEGRADED,knowledge,0.8244140667870324,433.25858883448836,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-071,DEGRADED,math,0.5146698106490338,530.2680754138904,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-072,DEGRADED,safety,0.6492012951767456,511.9481115407141,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-073,DEGRADED,code,0.6084360020620879,466.23099191219103,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-074,DEGRADED,instruction,0.5320333226671234,679.5006796287756,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-075,DEGRADED,knowledge,0.5564834755975135,580.0319921111014,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-076,DEGRADED,math,0.4289231199518383,498.9766034388746,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-077,STABLE,safety,0.835369199398474,387.5041085207406,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-078,STABLE,code,1.0,261.30421938445886,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-079,STABLE,instruction,0.8966978334887545,154.3632742474706,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-080,STABLE,knowledge,0.6124396627111216,702.4249139909992,False,REJECT,REJECT,3.0,,static quality threshold,{}
case-081,TRANSIENT,math,0.5958620002719356,866.3370636483985,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-082,TRANSIENT,safety,0.5251879424752681,1118.6499581671685,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-083,TRANSIENT,code,0.49098852002842236,1259.3271854513587,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-084,TRANSIENT,instruction,0.5995662962302518,1037.7141678778903,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-085,TRANSIENT,knowledge,0.5860662741309766,931.7120949869394,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-086,STABLE,math,0.8447472779020144,384.91976061727314,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-087,DISTRIBUTION_SHIFT,safety,0.806789929348937,459.80188123513955,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-088,DISTRIBUTION_SHIFT,code,0.808756881380408,405.3450417076083,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-089,DISTRIBUTION_SHIFT,instruction,0.7355112777012811,411.2501475831881,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-090,DISTRIBUTION_SHIFT,knowledge,0.8018640206102639,504.22833935001614,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-091,DISTRIBUTION_SHIFT,math,0.6367661333660496,374.7932063606685,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-092,STABLE,safety,0.9381972515160749,527.301645170334,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-093,TRANSIENT,code,0.6308049473067393,758.1695469236836,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-094,TRANSIENT,instruction,0.5832262660149572,1018.7215046170923,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-095,STABLE,knowledge,0.9730432312194164,395.2775104940922,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-096,STABLE,math,0.861181196874117,653.3484234946767,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-097,STABLE,safety,0.911487414333033,514.3733621111896,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-098,STABLE,code,0.8144796326520006,307.8193581806089,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-099,STABLE,instruction,0.8222673011177515,633.2014820274726,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-100,STABLE,knowledge,0.8384130152707382,403.478897776705,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-101,STABLE,math,0.9285408725127094,611.2047994689358,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-102,STABLE,safety,0.7695841443696178,411.5253346380833,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-103,STABLE,code,0.8603074547416697,349.2471314838918,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-104,STABLE,instruction,1.0,293.48011522666,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-105,STABLE,knowledge,0.8412285428030334,406.94098229120834,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-106,STABLE,math,0.8679296316152234,461.2678164241247,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-107,STABLE,safety,0.9355086489429595,811.246356913698,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-108,STABLE,code,0.8282811127481481,527.8323982291918,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-109,STABLE,instruction,0.9297183951111566,155.03743294163212,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-110,STABLE,knowledge,0.8798224131711849,285.40034599288623,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-111,STABLE,math,0.884929462976533,491.127796336785,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-112,STABLE,safety,0.7772713795707592,406.0650143456876,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-113,STABLE,code,0.7997526996721366,585.2318044489649,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-114,STABLE,instruction,0.9002900899028374,545.6821597566816,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-115,STABLE,knowledge,0.8787088479719458,654.4732058465715,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-116,DEGRADED,math,0.7800411175096424,549.409310749644,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-117,DEGRADED,safety,0.8498202324832028,388.4448890462165,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-118,DEGRADED,code,0.884081502649738,361.22344421441926,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-119,DEGRADED,instruction,0.8956304006108897,497.68878877099576,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-120,DEGRADED,knowledge,0.8865421116913411,391.83944006962224,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
